Model,Category,BLEU,ROUGE-L,METEOR,BERT-F1
bakllava_latest,Text Only (Timeline),0.027891608057804156,0.13924050632911392,0.21799628942486085,0.8559790849685669
claude_vision,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.0,0.0,0.0,0.0
claude_vision,"Art, Photos & Cartoons 
(Photographs)",0.0,0.0,0.0,0.0
claude_vision,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.0,0.0,0.0,0.0
claude_vision,Chemistry,0.0,0.0,0.0,0.0
claude_vision,Illustrated Diagram (Simple),0.0,0.0,0.0,0.0
claude_vision,Illustrated Diagram (Complex),0.0,0.0,0.0,0.0
claude_vision,Illustrated Diagram (Comparison),0.0,0.0,0.0,0.0
claude_vision,Relational Diagram(Venn),0.0,0.0,0.0,0.0
claude_vision,"Relational Diagram 
(Web)",0.0,0.0,0.0,0.0
claude_vision,"Relational Diagram 
(Tree)",0.0,0.0,0.0,0.0
claude_vision,"Relational Diagram
(Flowchart Basic)",0.0,0.0,0.0,0.0
claude_vision,"Relational Diagram
(Flowchart Multiple Start Points)",0.0,0.0,0.0,0.0
claude_vision,"Relational Diagram
(Flowchart Multiple Paths)",0.0,0.0,0.0,0.0
claude_vision,Relational Diagram (Cycle),0.0,0.0,0.0,0.0
claude_vision,Relational Diagram (Cycle),0.0,0.0,0.0,0.0
claude_vision,Graph (Vertical Bar Graph),0.0,0.0,0.0,0.0
claude_vision,Graph (Double),0.0,0.0,0.0,0.0
claude_vision,Graph (Horizontal Bar Graph),0.0,0.0,0.0,0.0
claude_vision,Graph (Line),0.0,0.0,0.0,0.0
claude_vision,Graphs (Pie Chart),0.0,0.0,0.0,0.0
claude_vision,Graphs (Scatter Plot),0.0,0.0,0.0,0.0
claude_vision,Maps (Physical),0.0,0.0,0.0,0.0
claude_vision,Maps (Political),0.0,0.0,0.0,0.0
claude_vision,Maths (Graphs),0.0,0.0,0.0,0.0
claude_vision,Maths (Diagram),0.0,0.0,0.0,0.0
claude_vision,Maths (Geometry),0.0,0.0,0.0,0.0
claude_vision,Table (Simple),0.0,0.0,0.0,0.0
claude_vision,Table (Complex),0.0,0.0,0.0,0.0
claude_vision,Text Only (Nutrition Label),0.0,0.0,0.0,0.0
claude_vision,Text Only (Timeline),0.0,0.0,0.0,0.0
gemini_vision,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.0,0.0,0.0,0.0
gemini_vision,"Art, Photos & Cartoons 
(Photographs)",0.0,0.0,0.0,0.0
gemini_vision,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.0,0.0,0.0,0.0
gemini_vision,Chemistry,0.0,0.0,0.0,0.0
gemini_vision,Illustrated Diagram (Simple),0.0,0.0,0.0,0.0
gemini_vision,Illustrated Diagram (Complex),0.0,0.0,0.0,0.0
gemini_vision,Illustrated Diagram (Comparison),0.0,0.0,0.0,0.0
gemini_vision,Relational Diagram(Venn),0.0,0.0,0.0,0.0
gemini_vision,"Relational Diagram 
(Web)",0.0,0.0,0.0,0.0
gemini_vision,"Relational Diagram 
(Tree)",0.0,0.0,0.0,0.0
gemini_vision,"Relational Diagram
(Flowchart Basic)",0.0,0.0,0.0,0.0
gemini_vision,"Relational Diagram
(Flowchart Multiple Start Points)",0.0,0.0,0.0,0.0
gemini_vision,"Relational Diagram
(Flowchart Multiple Paths)",0.0,0.0,0.0,0.0
gemini_vision,Relational Diagram (Cycle),0.0,0.0,0.0,0.0
gemini_vision,Relational Diagram (Cycle),0.0,0.0,0.0,0.0
gemini_vision,Graph (Vertical Bar Graph),0.0,0.0,0.0,0.0
gemini_vision,Graph (Double),0.0,0.0,0.0,0.0
gemini_vision,Graph (Horizontal Bar Graph),0.0,0.0,0.0,0.0
gemini_vision,Graph (Line),0.0,0.0,0.0,0.0
gemini_vision,Graphs (Pie Chart),0.0,0.0,0.0,0.0
gemini_vision,Graphs (Scatter Plot),0.0,0.0,0.0,0.0
gemini_vision,Maps (Physical),0.0,0.0,0.0,0.0
gemini_vision,Maps (Political),0.0,0.0,0.0,0.0
gemini_vision,Maths (Graphs),0.0,0.0,0.0,0.0
gemini_vision,Maths (Diagram),0.0,0.0,0.0,0.0
gemini_vision,Maths (Geometry),0.0,0.0,0.0,0.0
gemini_vision,Table (Simple),0.0,0.0,0.0,0.0
gemini_vision,Table (Complex),0.0,0.0,0.0,0.0
gemini_vision,Text Only (Nutrition Label),0.0,0.0,0.0,0.0
gemini_vision,Text Only (Timeline),0.0,0.0,0.0,0.0
gemma_latest,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.0,0.0,0.0,0.0
gemma_latest,"Art, Photos & Cartoons 
(Photographs)",0.0,0.0,0.0,0.0
gemma_latest,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.0,0.0,0.0,0.0
gemma_latest,Chemistry,0.0,0.0,0.0,0.0
gemma_latest,Illustrated Diagram (Simple),0.0,0.0,0.0,0.0
gemma_latest,Illustrated Diagram (Complex),0.0,0.0,0.0,0.0
gemma_latest,Illustrated Diagram (Comparison),0.0,0.0,0.0,0.0
gemma_latest,Relational Diagram(Venn),0.0,0.0,0.0,0.0
gemma_latest,"Relational Diagram 
(Web)",0.0,0.0,0.0,0.0
gemma_latest,"Relational Diagram 
(Tree)",0.0,0.0,0.0,0.0
gemma_latest,"Relational Diagram
(Flowchart Basic)",0.0,0.0,0.0,0.0
gemma_latest,"Relational Diagram
(Flowchart Multiple Start Points)",0.0,0.0,0.0,0.0
gemma_latest,"Relational Diagram
(Flowchart Multiple Paths)",0.0,0.0,0.0,0.0
gemma_latest,Relational Diagram (Cycle),0.0,0.0,0.0,0.0
gemma_latest,Relational Diagram (Cycle),0.0,0.0,0.0,0.0
gemma_latest,Graph (Vertical Bar Graph),0.0,0.0,0.0,0.0
gemma_latest,Graph (Double),0.0,0.0,0.0,0.0
gemma_latest,Graph (Horizontal Bar Graph),0.0,0.0,0.0,0.0
gemma_latest,Graph (Line),0.0,0.0,0.0,0.0
gemma_latest,Graphs (Pie Chart),0.0,0.0,0.0,0.0
gemma_latest,Graphs (Scatter Plot),0.0,0.0,0.0,0.0
gemma_latest,Maps (Physical),0.0,0.0,0.0,0.0
gemma_latest,Maps (Political),0.0,0.0,0.0,0.0
gemma_latest,Maths (Graphs),0.0,0.0,0.0,0.0
gemma_latest,Maths (Diagram),0.0,0.0,0.0,0.0
gemma_latest,Maths (Geometry),0.0,0.0,0.0,0.0
gemma_latest,Table (Simple),0.0,0.0,0.0,0.0
gemma_latest,Table (Complex),0.0,0.0,0.0,0.0
gemma_latest,Text Only (Nutrition Label),0.0,0.0,0.0,0.0
gemma_latest,Text Only (Timeline),0.0,0.0,0.0,0.0
gpt4v,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.0,0.0,0.0,0.0
gpt4v,"Art, Photos & Cartoons 
(Photographs)",0.0,0.0,0.0,0.0
gpt4v,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.0,0.0,0.0,0.0
gpt4v,Chemistry,0.0,0.0,0.0,0.0
gpt4v,Illustrated Diagram (Simple),0.0,0.0,0.0,0.0
gpt4v,Illustrated Diagram (Complex),0.0,0.0,0.0,0.0
gpt4v,Illustrated Diagram (Comparison),0.0,0.0,0.0,0.0
gpt4v,Relational Diagram(Venn),0.0,0.0,0.0,0.0
gpt4v,"Relational Diagram 
(Web)",0.0,0.0,0.0,0.0
gpt4v,"Relational Diagram 
(Tree)",0.0,0.0,0.0,0.0
gpt4v,"Relational Diagram
(Flowchart Basic)",0.0,0.0,0.0,0.0
gpt4v,"Relational Diagram
(Flowchart Multiple Start Points)",0.0,0.0,0.0,0.0
gpt4v,"Relational Diagram
(Flowchart Multiple Paths)",0.0,0.0,0.0,0.0
gpt4v,Relational Diagram (Cycle),0.0,0.0,0.0,0.0
gpt4v,Relational Diagram (Cycle),0.0,0.0,0.0,0.0
gpt4v,Graph (Vertical Bar Graph),0.0,0.0,0.0,0.0
gpt4v,Graph (Double),0.0,0.0,0.0,0.0
gpt4v,Graph (Horizontal Bar Graph),0.0,0.0,0.0,0.0
gpt4v,Graph (Line),0.0,0.0,0.0,0.0
gpt4v,Graphs (Pie Chart),0.0,0.0,0.0,0.0
gpt4v,Graphs (Scatter Plot),0.0,0.0,0.0,0.0
gpt4v,Maps (Physical),0.0,0.0,0.0,0.0
gpt4v,Maps (Political),0.0,0.0,0.0,0.0
gpt4v,Maths (Graphs),0.0,0.0,0.0,0.0
gpt4v,Maths (Diagram),0.0,0.0,0.0,0.0
gpt4v,Maths (Geometry),0.0,0.0,0.0,0.0
gpt4v,Table (Simple),0.0,0.0,0.0,0.0
gpt4v,Table (Complex),0.0,0.0,0.0,0.0
gpt4v,Text Only (Nutrition Label),0.0,0.0,0.0,0.0
gpt4v,Text Only (Timeline),0.0,0.0,0.0,0.0
llama3.2-vision_latest,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.007167977260016971,0.10526315789473684,0.1328125,0.8342320322990417
llama3.2-vision_latest,"Art, Photos & Cartoons 
(Photographs)",0.0010547508260500152,0.018691588785046728,0.054744525547445265,0.8235278129577637
llama3.2-vision_latest,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.039864910537591156,0.17313432835820897,0.20761245674740483,0.8280420899391174
llama3.2-vision_latest,Chemistry,0.004517047783741061,0.2337662337662338,0.1652892561983471,0.8612621426582336
llama3.2-vision_latest,Illustrated Diagram (Simple),0.010339534775183349,0.19437340153452687,0.16758150054008644,0.8316476345062256
llama3.2-vision_latest,Illustrated Diagram (Complex),0.01873561989470629,0.16613418530351437,0.2059143017476351,0.8250244855880737
llama3.2-vision_latest,Illustrated Diagram (Comparison),0.05889369002589819,0.2150537634408602,0.2053501268557958,0.8219776749610901
llama3.2-vision_latest,Relational Diagram(Venn),0.07880832618613189,0.227027027027027,0.3356038030367533,0.8431575894355774
llama3.2-vision_latest,"Relational Diagram 
(Web)",0.00299026406364443,0.11149825783972124,0.1269035532994924,0.8277473449707031
llama3.2-vision_latest,"Relational Diagram 
(Tree)",0.003998952123438038,0.16666666666666669,0.13003901170351106,0.8453044891357422
llama3.2-vision_latest,"Relational Diagram
(Flowchart Basic)",0.0029110693425222845,0.1423487544483986,0.08748060167945552,0.7927868366241455
llama3.2-vision_latest,"Relational Diagram
(Flowchart Multiple Start Points)",3.581473258053108e-08,0.06779661016949153,0.023183925811437398,0.710125744342804
llama3.2-vision_latest,"Relational Diagram
(Flowchart Multiple Paths)",0.009300072083149383,0.22774327122153212,0.20774287235533062,0.8199778199195862
llama3.2-vision_latest,Relational Diagram (Cycle),0.02937860166057479,0.15966386554621848,0.22357658416839174,0.8328236937522888
llama3.2-vision_latest,Relational Diagram (Cycle),0.0009960803067165362,0.0821917808219178,0.025670279520821446,0.7166546583175659
llama3.2-vision_latest,Graph (Vertical Bar Graph),0.06458394656225969,0.23703703703703705,0.22316894421939915,0.8012472987174988
llama3.2-vision_latest,Graph (Double),0.0,0.0,0.0,0.0
llama3.2-vision_latest,Graph (Horizontal Bar Graph),0.007768055635788192,0.1388888888888889,0.07197833523375143,0.7556270360946655
llama3.2-vision_latest,Graph (Line),0.0,0.0,0.0,0.0
llama3.2-vision_latest,Graphs (Pie Chart),0.0034233558659372077,0.1076487252124646,0.2598190370293951,0.7524862289428711
llama3.2-vision_latest,Graphs (Scatter Plot),0.042789026212718996,0.30721003134796243,0.24431004870559203,0.8178820013999939
llama3.2-vision_latest,Maps (Physical),0.0,0.0,0.0,0.0
llama3.2-vision_latest,Maps (Political),0.02350901234887632,0.20418848167539266,0.14634146341463414,0.8055926561355591
llama3.2-vision_latest,Maths (Graphs),0.0,0.0,0.0,0.0
llama3.2-vision_latest,Maths (Diagram),0.003252462295030853,0.18969072164948453,0.23462270133164237,0.828249454498291
llama3.2-vision_latest,Maths (Geometry),0.003910125690622946,0.1523809523809524,0.06206361520558573,0.7844204306602478
llama3.2-vision_latest,Table (Simple),0.0061010822827484565,0.14245014245014243,0.15444015444015444,0.8083632588386536
llama3.2-vision_latest,Table (Complex),0.06828002629971944,0.25000000000000006,0.11967900744578765,0.7808789014816284
llama3.2-vision_latest,Text Only (Nutrition Label),0.0,0.0,0.0,0.0
llama3.2-vision_latest,Text Only (Timeline),0.0034009867722573145,0.0718562874251497,0.08140043763676148,0.7025929689407349
llava-llama3_latest,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.005610138765385471,0.11518324607329843,0.1718110019010153,0.84574955701828
llava-llama3_latest,"Art, Photos & Cartoons 
(Photographs)",0.002104351645526129,0.03571428571428572,0.0574712643678161,0.8461428284645081
llava-llama3_latest,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.011758391895386286,0.14325068870523416,0.19197952218430034,0.8229057192802429
llava-llama3_latest,Chemistry,0.005267250354064093,0.15053763440860216,0.24061900575447576,0.8575875163078308
llava-llama3_latest,Illustrated Diagram (Simple),0.005109440239246031,0.19298245614035087,0.16337096367902904,0.8188918828964233
llava-llama3_latest,Illustrated Diagram (Complex),0.0030618445335563417,0.09230769230769231,0.06609642301710733,0.7570908069610596
llava-llama3_latest,Illustrated Diagram (Comparison),0.003955714000322422,0.1881331403762663,0.1340149959331191,0.7964048981666565
llava-llama3_latest,Relational Diagram(Venn),0.011220749860247821,0.13772455089820357,0.24353101325757576,0.8282296657562256
llava-llama3_latest,"Relational Diagram 
(Web)",0.0028298140738115003,0.10566037735849058,0.14991181657848324,0.8345417380332947
llava-llama3_latest,"Relational Diagram 
(Tree)",0.002913935689056568,0.09655172413793105,0.1443569553805774,0.8373856544494629
llava-llama3_latest,"Relational Diagram
(Flowchart Basic)",0.009071848797788839,0.16299559471365638,0.1439380097879282,0.7908434271812439
llava-llama3_latest,"Relational Diagram
(Flowchart Multiple Start Points)",0.0032262159846223534,0.08467741935483872,0.09080902952481536,0.7873033881187439
llava-llama3_latest,"Relational Diagram
(Flowchart Multiple Paths)",0.004541907565356381,0.21855670103092784,0.2036857419980601,0.8277608752250671
llava-llama3_latest,Relational Diagram (Cycle),0.00824351221005205,0.147239263803681,0.3216889515428539,0.8364323973655701
llava-llama3_latest,Relational Diagram (Cycle),0.012485011655362406,0.14698162729658792,0.14555197231003975,0.816106915473938
llava-llama3_latest,Graph (Vertical Bar Graph),0.09296821370374816,0.23076923076923078,0.30586452448210927,0.7698739767074585
llava-llama3_latest,Graph (Double),0.008302613050252088,0.14285714285714288,0.12163070905490195,0.840739369392395
llava-llama3_latest,Graph (Horizontal Bar Graph),0.0031702529527901455,0.08888888888888889,0.09152215799614644,0.7419873476028442
llava-llama3_latest,Graph (Line),0.05472093831625144,0.1735159817351598,0.18185184332164628,0.7789487242698669
llava-llama3_latest,Graphs (Pie Chart),0.0017685591052062812,0.12955465587044535,0.17905635529721634,0.7863981127738953
llava-llama3_latest,Graphs (Scatter Plot),0.0049739573066349425,0.19263456090651557,0.2212454524870568,0.8325747847557068
llava-llama3_latest,Maps (Physical),0.007738624294839626,0.15720524017467247,0.14427860696517414,0.8300108909606934
llava-llama3_latest,Maps (Political),0.012086518630565587,0.18250950570342206,0.1673528832640127,0.8241431713104248
llava-llama3_latest,Maths (Graphs),0.009664617659181852,0.22535211267605632,0.1680902994434675,0.8446555733680725
llava-llama3_latest,Maths (Diagram),0.004864391454195501,0.178117048346056,0.2,0.8241650462150574
llava-llama3_latest,Maths (Geometry),0.009158936160820173,0.21212121212121213,0.1808658385138057,0.8289742469787598
llava-llama3_latest,Table (Simple),0.004484907797995561,0.1679389312977099,0.25442584958090375,0.8195792436599731
llava-llama3_latest,Table (Complex),0.007879838049513926,0.07439824945295404,0.05510301868711069,0.7389814257621765
llava-llama3_latest,Text Only (Nutrition Label),0.004550730895332167,0.1111111111111111,0.18662414660438376,0.8117622137069702
llava-llama3_latest,Text Only (Timeline),0.04645702728788889,0.23868312757201646,0.46227340584346355,0.8623863458633423
llava-phi3_latest,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.007514015083804467,0.13513513513513514,0.15977443609022557,0.8569865226745605
llava-phi3_latest,"Art, Photos & Cartoons 
(Photographs)",0.0012188970814505835,0.02173913043478261,0.04048582995951418,0.829007625579834
llava-phi3_latest,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.00523197995929118,0.1498371335504886,0.19061112344582598,0.8233526349067688
llava-phi3_latest,Chemistry,0.0056934722820839835,0.1693121693121693,0.25097455214401476,0.8465650677680969
llava-phi3_latest,Illustrated Diagram (Simple),0.005148572931671319,0.1853932584269663,0.13886443645414115,0.8380796313285828
llava-phi3_latest,Illustrated Diagram (Complex),0.0056705334896660995,0.05325443786982249,0.06371222911548498,0.7565491199493408
llava-phi3_latest,Illustrated Diagram (Comparison),0.002050334935873651,0.15280135823429544,0.0691544885177453,0.8002446293830872
llava-phi3_latest,Relational Diagram(Venn),0.0036682160389696827,0.1288135593220339,0.19820971867007675,0.8317015767097473
llava-phi3_latest,"Relational Diagram 
(Web)",0.004709559819754417,0.17857142857142858,0.18939393939393945,0.8650670647621155
llava-phi3_latest,"Relational Diagram 
(Tree)",0.0034865276486909795,0.14107883817427386,0.13361462728551335,0.8421252965927124
llava-phi3_latest,"Relational Diagram
(Flowchart Basic)",0.004120962403769473,0.15384615384615383,0.09286128845037725,0.7860941290855408
llava-phi3_latest,"Relational Diagram
(Flowchart Multiple Start Points)",0.003182017124512105,0.08315098468271336,0.07863089731729879,0.7766383290290833
llava-phi3_latest,"Relational Diagram
(Flowchart Multiple Paths)",0.012664064069875655,0.1711491442542787,0.16372795969773302,0.8193312287330627
llava-phi3_latest,Relational Diagram (Cycle),0.004713481358225326,0.1437908496732026,0.28695411956997174,0.8405037522315979
llava-phi3_latest,Relational Diagram (Cycle),0.0024379841433840588,0.17250673854447438,0.13322457857531264,0.8236477971076965
llava-phi3_latest,Graph (Vertical Bar Graph),0.031071409484343716,0.17647058823529413,0.21146310896774903,0.7504345178604126
llava-phi3_latest,Graph (Double),0.003844211380562289,0.11307420494699646,0.1290498601732488,0.8371533751487732
llava-phi3_latest,Graph (Horizontal Bar Graph),0.0026876939838343184,0.09691629955947136,0.08224790369652804,0.7327094078063965
llava-phi3_latest,Graph (Line),0.01911134218141114,0.21818181818181814,0.15168168098722795,0.7898216247558594
llava-phi3_latest,Graphs (Pie Chart),0.0035064374623210793,0.10727969348659004,0.18136904761904768,0.7617148756980896
llava-phi3_latest,Graphs (Scatter Plot),0.022285598623753542,0.25705329153605017,0.3189733713976795,0.8533583879470825
llava-phi3_latest,Maps (Physical),0.00778593336275311,0.1732283464566929,0.22028206563909583,0.8305481672286987
llava-phi3_latest,Maps (Political),0.028842915808024654,0.16710182767624018,0.12665655556043723,0.8227271437644958
llava-phi3_latest,Maths (Graphs),0.009742056787880331,0.18469656992084432,0.2136465509627274,0.8364141583442688
llava-phi3_latest,Maths (Diagram),0.004110473960128551,0.16138328530259366,0.20084566596194503,0.8246510028839111
llava-phi3_latest,Maths (Geometry),0.03364716762823713,0.21176470588235294,0.24580269377146954,0.8402714133262634
llava-phi3_latest,Table (Simple),0.00960095104161345,0.13157894736842105,0.26822558459422285,0.8149875998497009
llava-phi3_latest,Table (Complex),0.007841650683336521,0.11738148984198646,0.08653846153846152,0.739633321762085
llava-phi3_latest,Text Only (Nutrition Label),0.00713031837404279,0.11290322580645161,0.2152906893592678,0.81223064661026
llava-phi3_latest,Text Only (Timeline),0.00942697532879614,0.14869888475836432,0.2524914924647545,0.8326822519302368
llava-v1.5,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.009027380604673035,0.20408163265306123,0.2341403246642076,0.861702561378479
llava-v1.5,"Art, Photos & Cartoons 
(Photographs)",0.002877533669929391,0.04761904761904762,0.06802721088435375,0.8424569964408875
llava-v1.5,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.026124181853423155,0.2094240837696335,0.21368879567637333,0.8435807228088379
llava-v1.5,Chemistry,0.012100242398732305,0.21782178217821785,0.27346606395000994,0.8709399104118347
llava-v1.5,Illustrated Diagram (Simple),0.03204508114695102,0.22972972972972971,0.13971208326640286,0.837063193321228
llava-v1.5,Illustrated Diagram (Complex),0.003988140278664242,0.030612244897959183,0.04849874658158614,0.7511725425720215
llava-v1.5,Illustrated Diagram (Comparison),0.012050035668731925,0.20959147424511546,0.12200366157933962,0.8174178600311279
llava-v1.5,Relational Diagram(Venn),0.009680725341678643,0.1967213114754098,0.0983606557377049,0.8573492169380188
llava-v1.5,"Relational Diagram 
(Web)",0.021028683459272796,0.19642857142857142,0.2807454890788224,0.8712524771690369
llava-v1.5,"Relational Diagram 
(Tree)",0.020065884387078816,0.21621621621621623,0.205,0.8715949058532715
llava-v1.5,"Relational Diagram
(Flowchart Basic)",0.0021525234863175855,0.12,0.058068459657701715,0.7911484241485596
llava-v1.5,"Relational Diagram
(Flowchart Multiple Start Points)",0.005963138399706334,0.11343283582089553,0.07333233717124968,0.79850172996521
llava-v1.5,"Relational Diagram
(Flowchart Multiple Paths)",0.0010429798498321704,0.09885931558935361,0.04617055947854427,0.8027126789093018
llava-v1.5,Relational Diagram (Cycle),0.013076704174243734,0.22660098522167488,0.24460115082652517,0.859281063079834
llava-v1.5,Relational Diagram (Cycle),0.005638034711250282,0.18289085545722714,0.15713241550765059,0.821868360042572
llava-v1.5,Graph (Vertical Bar Graph),0.008106079497461609,0.16753926701570682,0.10597302504816955,0.7484860420227051
llava-v1.5,Graph (Double),0.019745342660129634,0.1038961038961039,0.129067096636802,0.8411877155303955
llava-v1.5,Graph (Horizontal Bar Graph),0.03936315646018899,0.17204301075268816,0.1184646168452299,0.7475083470344543
llava-v1.5,Graph (Line),0.004800950592043822,0.20261437908496732,0.1191778742799151,0.7789378762245178
llava-v1.5,Graphs (Pie Chart),0.017439560733690757,0.13559322033898305,0.11458333333333333,0.7543647885322571
llava-v1.5,Graphs (Scatter Plot),0.036940542185122806,0.2192982456140351,0.1502843216896832,0.8335421681404114
llava-v1.5,Maps (Physical),0.011188014961232041,0.20930232558139533,0.18430425851372756,0.8323622941970825
llava-v1.5,Maps (Political),0.0023022409233175328,0.14473684210526316,0.07600184246890833,0.814713716506958
llava-v1.5,Maths (Graphs),0.006723795593543837,0.19999999999999998,0.1527510764186464,0.8217212557792664
llava-v1.5,Maths (Diagram),0.008301798427406033,0.1811023622047244,0.12743628185907044,0.8368955254554749
llava-v1.5,Maths (Geometry),0.005204322037901604,0.21212121212121213,0.11700468018720749,0.8330499529838562
llava-v1.5,Table (Simple),0.012390516746181544,0.2702702702702703,0.14743128905601943,0.827826976776123
llava-v1.5,Table (Complex),0.0069926474410923695,0.10059171597633136,0.04052684903748733,0.7445423603057861
llava-v1.5,Text Only (Nutrition Label),0.015743563114126016,0.23008849557522124,0.25860898244252595,0.829112708568573
llava-v1.5,Text Only (Timeline),0.016539453835072992,0.20740740740740743,0.23112859601671992,0.8478005528450012
minicpm-v_latest,"Art, Photos & Cartoons 
(Drawings & Paintings)",0.0032542588930631403,0.10077519379844961,0.20243705458966788,0.8439704179763794
minicpm-v_latest,"Art, Photos & Cartoons 
(Photographs)",0.001514827573192565,0.03614457831325301,0.06578947368421054,0.8293004035949707
minicpm-v_latest,"Art, Photos & Cartoons 
(Cartoons & Comics) ",0.01831762652019012,0.15458937198067635,0.2543094355543501,0.8184021711349487
minicpm-v_latest,Chemistry,0.004863726644785607,0.2085889570552147,0.14745308310991959,0.8571271300315857
minicpm-v_latest,Illustrated Diagram (Simple),0.0,0.009433962264150945,0.0,0.7049943208694458
minicpm-v_latest,Illustrated Diagram (Complex),0.0,0.0,0.0,0.6828147172927856
minicpm-v_latest,Illustrated Diagram (Comparison),0.0034849701319846086,0.1504424778761062,0.123841853662787,0.8097894191741943
minicpm-v_latest,Relational Diagram(Venn),0.026003129529063144,0.19289340101522845,0.36411775109480915,0.8705540299415588
minicpm-v_latest,"Relational Diagram 
(Web)",0.03405100973807503,0.14207650273224043,0.2845739219712526,0.8637323975563049
minicpm-v_latest,"Relational Diagram 
(Tree)",0.049023835842276285,0.23134328358208955,0.30757065948856,0.8711252808570862
minicpm-v_latest,"Relational Diagram
(Flowchart Basic)",0.008288885277443198,0.1598173515981735,0.1582054650503553,0.7963019013404846
minicpm-v_latest,"Relational Diagram
(Flowchart Multiple Start Points)",0.0031411080182428067,0.11023622047244094,0.10618175273923938,0.7915106415748596
